Участок,Позиция запорной арматуры,Конструктивное исполнение,Тип арматуры (запорная/ Регулирующая),Тип привода,Позиция трубы,Условный диаметр трубы DN,"Условное давление рабочей среды PN, бар",Материал трубы,Среда,Датчик положения,Тип пневмораспределителя,Положение при аварийном отключении (НЗ/НО/БИ),ШПУ,"Расход воздуха на 1 операцию, л.",Ø и резьба пневмоприсоединения,Кол-во ответных фитингов,"Ø пневмотрубки, мм",Тип концевого выключателя,Тип позиционера,Описание устройства,Категория,PLC,Ex-исполнение,Описание (ТЕМП),Операция,Примечание,,,,
Измельчение. 1 стадия,0206.001-BY-101,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,200,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Загрузочный желоб мельницы МСИ 0206.001-СН-101,Загрузочный желоб мельницы МСИ 0206.001-СН-101,,,,,
Измельчение. 1 стадия,0206.001-BY-102.1,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,200,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Загрузочный желоб мельницы МСИ 0206.001-СН-101,Загрузочный желоб мельницы МСИ 0206.001-СН-101,,,,,
Измельчение. 1 стадия,0206.001-BY-103,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,200,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Загрузочный желоб мельницы МСИ 0206.001-СН-101,Загрузочный желоб мельницы МСИ 0206.001-СН-101,,,,,
Измельчение. 1 стадия,0206.001-BY-104,Поворотная заслонка/дисковый затвор,Регулирующая,Пневмопривод,-,200,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,Порт коллектора,Без изменений,0206.601-CPC01,"65,0","G 1/4""",1,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-CV,1.1,НЕТ,Подача воды в загрузочный желоб мельницы МСИ 0206.001-СН-101,Подача воды в загрузочный желоб мельницы МСИ 0206.001-СН-101,,,,,FALSE
Измельчение. 1 стадия,0206.001-BY-105,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МСИ 0206.001-TR-101,В бутару МСИ 0206.001-TR-101,,,,,
Измельчение. 1 стадия,0206.001-BY-106,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МСИ 0206.001-TR-101,В бутару МСИ 0206.001-TR-101,,,,,
Измельчение. 1 стадия,0206.001-BY-107,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МСИ 0206.001-TR-101,В бутару МСИ 0206.001-TR-101,,,,,
Измельчение. 1 стадия,0206.001-BY-108,Поворотная заслонка/дисковый затвор,Регулирующая,Пневмопривод,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,Порт коллектора,Без изменений,0206.601-CPC01,"6,0","G 1/4""",1,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-CV,1.1,НЕТ,Подача воды в бутару МСИ 0206.001-TR-101,Подача воды в бутару МСИ 0206.001-TR-101,,,,,
Измельчение. 1 стадия,0206.001-BY-125,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.001-PP-126-050-LBА,50,10,сталь (Ст. 20 или Ст.3 кп) гуммированная каучуком,Пульпа,-,,-,,,,,,,,,,,НЕТ,Отвод трубопровода для датчика давления,Отвод трубопровода для датчика давления,Замена позиции 0206.001-BV-111,,,,
Измельчение. 2 стадия,0206.001-BY-109,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МШЦ 0206.001-TR-101,В бутару МШЦ 0206.001-TR-101,,,,,
Измельчение. 2 стадия,0206.001-BY-110,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МШЦ 0206.001-TR-101,В бутару МШЦ 0206.001-TR-101,,,,,
Измельчение. 2 стадия,0206.001-BY-111,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МШЦ 0206.001-TR-101,В бутару МШЦ 0206.001-TR-101,,,,,
Измельчение. 2 стадия,0206.001-BY-112,Поворотная заслонка/дисковый затвор,Регулирующая,Пневмопривод,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,Порт коллектора,Без изменений,0206.602-CPC01,"6,0","G 1/4""",1,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-CV,1.1,НЕТ,Подача воды в бутару МШЦ 0206.001-TR-102,Подача воды в бутару МШЦ 0206.001-TR-102,,,,,
Измельчение. 1-2 стадии,0206.001-KV-101,Шиберно-ножевая задвижка,Запорная,Ручной,206.001-PP-120-300-LAA,300,10,марка стали 20 (марка стали может быть изменена по желанию заказчика)  ,Пульпа,-,,-,,,,,,,,,,,НЕТ,Дренаж зумпфа 0206.001-SU-104,Дренаж зумпфа  0206.001-SU-104,,,,,
Измельчение. 1-2 стадии,0206.001-KV-125,Шиберно-ножевая задвижка,Запорная,Ручной,206.001-PP-114-400-LBА,400,10,сталь (Ст. 20 или Ст.3 кп) гумированная каучуком,Пульпа,+,,Без изменений,,,,,,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Ручная ЗРА,1.1,НЕТ,Всас насоса 0206.001-PU-105,Всас насоса 0206.001-PU-105,,,,,
Измельчение. 1-2 стадии,0206.001-KV-126,Шиберно-ножевая задвижка,Запорная,Ручной,206.001-PP-115-400-LBА,500,10,сталь (Ст. 20 или Ст.3 кп) гумированная каучуком,Пульпа,+,,Без изменений,,,,,,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Ручная ЗРА,1.1,НЕТ,Всас насоса 0206.001-PU-106,Всас насоса 0206.001-PU-106,,,,,
Измельчение. 1-2 стадии,0206.001-KV-127,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.001-PP-114-400-LBА,400,10,сталь (Ст. 20 или Ст.3 кп) гумированная каучуком,Пульпа,+,5/3,Без изменений,0206.601-CPC01,"256,9","G 1/2""",2,12,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-FL,1.1,НЕТ,Всас насоса 0206.001-PU-105,Всас насоса 0206.001-PU-105,,,,,
Измельчение. 1-2 стадии,0206.001-KV-128,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.001-PP-115-400-LBА,500,10,сталь (Ст. 20 или Ст.3 кп) гумированная каучуком,Пульпа,+,5/3,Без изменений,0206.601-CPC01,"256,9","G 1/2""",2,12,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-FL,1.1,НЕТ,Всас насоса 0206.001-PU-106,Всас насоса 0206.001-PU-106,,,,,
Измельчение. 1-2 стадии,0206.001-KV-129,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.001-PP-121-150-LBА,150,10,сталь (Ст. 20 или Ст.3 кп) гумированная каучуком,Пульпа,+,5/2 МС,Нормально закрыт,0206.601-CPC01,"55,3","G 3/8""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,1.1,НЕТ,Дренаж трубопровода всаса насоса 0206.001-PU-105,Дренаж трубопровода всаса насоса  0206.001-PU-105,,,,,
Измельчение. 1-2 стадии,0206.001-KV-130,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.001-PP-122-150-LBА,150,10,сталь (Ст. 20 или Ст.3 кп) гумированная каучуком,Пульпа,+,5/2 МС,Нормально закрыт,0206.601-CPC01,"55,3","G 3/8""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,1.1,НЕТ,Дренаж трубопровода всаса насоса 0206.001-PU-106,Дренаж трубопровода всаса насоса  0206.001-PU-106,,,,,
Измельчение. 1-2 стадии,0206.001-KV-131,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.001-PP-116-350-LBА,350,10,сталь (Ст. 20 или Ст.3 кп) гумированная каучуком,Пульпа,+,5/3,Без изменений,0206.601-CPC01,"171,9","G 3/8""",2,12,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-FL,1.1,НЕТ,Нагнетание насоса 0206.001-PU-105,Нагнетание насоса 0206.001-PU-105,,,,,
Измельчение. 1-2 стадии,0206.001-KV-109,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.001-PP-117-350-LBА,350,10,сталь (Ст. 20 или Ст.3 кп) гумированная каучуком,Пульпа,+,5/3,Без изменений,0206.601-CPC01,"171,9","G 3/8""",2,12,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-FL,1.1,НЕТ,Нагнетание насоса 0206.001-PU-106,Нагнетание насоса 0206.001-PU-106,,,,,
Измельчение. 1-2 стадии,0206.001-BV-101,Шаровый кран,Запорная,Ручной,-,150,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,"Подача оборотной воды на промывку зумпфа 0206.001-SU-104, линия насоса 0206.001-PU-105",Подача оборотной воды на промывку трубопровода  206.001-PP-114-400-LBА,,,,,
Измельчение. 1-2 стадии,0206.001-BV-112,Шаровый кран,Запорная,Ручной,-,150,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,"Подача оборотной воды на промывку зумпфа 0206.001-SU-104, линия насоса 0206.001-PU-106",Подача оборотной воды на промывку трубопровода  206.001-PP-115-400-LBА,,,,,
Измельчение. 1-2 стадии,0206.001-BV-103,Шаровый кран,Запорная,Ручной,-,150,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на промывку всас трубопровода насоса 0206.001-PU-105,Подача оборотной воды на промывку трубопровода  206.001-PP-114-400-LBА,,,,,
Измельчение. 1-2 стадии,0206.001-BV-114,Шаровый кран,Запорная,Ручной,-,150,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на промывку всас трубопровода насоса 0206.001-PU-106,Подача оборотной воды на промывку трубопровода  206.001-PP-115-400-LBА,,,,,
Измельчение. 1-2 стадии,0206.001-BV-105,Шаровый кран,Запорная,Пневмопривод,-,150,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,5/2 МС,Нормально закрыт,0206.601-CPC01,"230,0","G 1/4""",2,10,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,1.1,НЕТ,Подача оборотной воды на промывку всас трубопровода насоса 0206.001-PU-105,Подача оборотной воды на промывку трубопровода  206.001-PP-114-400-LBА,,,,,
Измельчение. 1-2 стадии,0206.001-BV-116,Шаровый кран,Запорная,Пневмопривод,-,150,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,5/2 МС,Нормально закрыт,0206.601-CPC01,"230,0","G 1/4""",2,10,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,1.1,НЕТ,Подача оборотной воды на промывку всас трубопровода насоса 0206.001-PU-106,Подача оборотной воды на промывку трубопровода  206.001-PP-115-400-LBА,,,,,
Измельчение. 1-2 стадии,0206.001-BV-107,Шаровый кран,Запорная,Ручной,-,150,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на промывку насоса 0206.001-PU-105,Подача оборотной воды на промывку трубопровода  206.001-PP-114-400-LBА,,,,,
Измельчение. 1-2 стадии,0206.001-BV-118,Шаровый кран,Запорная,Ручной,-,150,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на промывку насоса 0206.001-PU-106,Подача оборотной воды на промывку трубопровода  206.001-PP-115-400-LBА,,,,,
Измельчение. 1-2 стадии,0206.001-BV-109,Шаровый кран,Запорная,Пневмопривод,-,150,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,5/2 МС,Нормально закрыт,0206.601-CPC01,"230,0","G 1/4""",2,10,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,1.1,НЕТ,Подача оборотной воды на промывку насоса 0206.001-PU-105,Подача оборотной воды на промывку трубопровода  206.001-PP-114-400-LBА,,,,,
Измельчение. 1-2 стадии,0206.001-BV-110,Шаровый кран,Запорная,Пневмопривод,-,150,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,5/2 МС,Нормально закрыт,0206.601-CPC01,"230,0","G 1/4""",2,10,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,1.1,НЕТ,Подача оборотной воды на промывку насоса 0206.001-PU-106,Подача оборотной воды на промывку трубопровода  206.001-PP-115-400-LBА,,,,,
Измельчение. 1-2 стадии,0206.001-GB-105,Соленоидный клапан,Запорная,Соленоидный клапан,-,20,10,сталь (марку стали определяет ВК),Фильтрованная вода,-,,Без изменений,,,,,,,,,Клапан ГУ,1.1,НЕТ,Фильтрованная вода на гидроуплотнение 0206.001-PU-105,Фильтрованная вода на гидроуплотнение 0206.001-PU-105,,,,,
Измельчение. 1-2 стадии,0206.001-GB-106,Соленоидный клапан,Запорная,Соленоидный клапан,-,20,10,сталь (марку стали определяет ВК),Фильтрованная вода,-,,Без изменений,,,,,,,,,Клапан ГУ,1.1,НЕТ,Фильтрованная вода на гидроуплотнение 0206.001-PU-106,Фильтрованная вода на гидроуплотнение 0206.001-PU-106,,,,,
Измельчение. 1 стадия,0206.001-BY-201,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,200,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Загрузочный желоб мельницы МСИ 0206.001-СН-201,Загрузочный желоб мельницы МСИ 0206.001-СН-201,,,,,
Измельчение. 1 стадия,0206.001-BY-202.1,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,200,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Загрузочный желоб мельницы МСИ 0206.001-СН-201,Загрузочный желоб мельницы МСИ 0206.001-СН-201,,,,,
